test,predict
4.222,3.0220554
4.002444444,3.3000822
3.968111111,3.3714921
3.682666667,3.5053976
3.523333333,3.155682
3.397777778,3.0227199
3.394666667,3.1372254
3.356888889,3.2270763
3.368555556,3.3506465
3.2877499999999995,3.29
3.325333333,3.5021074
3.407888889,3.2515006
3.1891111109999994,3.4236395
3.146,3.4722703
3.026111111,3.434798
3.017888889,3.2360442
2.975,3.214238
3.088555556,3.2777138
2.954666667,3.1286542
3.045555556,3.0568473
2.923111111,3.0909998
2.993111111,3.0409665
2.979,3.044351
