test,predict
4.449555556,3.046893
4.023333333,3.3012643
3.948444444,3.6062093
3.3478888890000005,3.519601
3.348,3.5286455
3.424,3.3252392
3.420888889,2.903924
3.226666667,3.1848774
3.051333333,3.1531374
3.029444444,3.1651955
3.196555556,3.0956492
3.096888889,2.8728127
3.162777778,2.8133836
3.1025555559999995,2.9866765
3.053555556,3.083662
3.005888889,2.9775407
3.043444444,2.9158657
3.149888889,2.822066
3.121888889,2.8605223
3.016777778,2.8985705
3.085555556,3.2454169
3.0960000000000005,2.9162068
2.971333333,2.9048111
