test,predict
4.449555556,2.9454758
4.023333333,2.8904686
3.948444444,3.303165
3.3478888890000005,3.1667995
3.348,3.0882502
3.424,3.2547903
3.420888889,2.8702016
3.226666667,3.1885877
3.051333333,3.2090974
3.029444444,3.108354
3.196555556,3.1686215
3.096888889,2.9847822
3.162777778,2.9793093
3.1025555559999995,3.2172446
3.053555556,3.282143
3.005888889,3.2696235
3.043444444,3.293281
3.149888889,3.122514
3.121888889,2.9811552
3.016777778,2.8997064
3.085555556,3.1860743
3.0960000000000005,3.0672781
2.971333333,2.9829907
