test,predict
3.546444444,3.724775
3.666222222,3.6747525
3.271777778,3.6450317
3.419888889,3.7575588
3.2675555560000005,3.4035823
3.297333333,3.478056
3.220222222,3.7177796
3.066444444,3.300077
3.261555556,3.1498485
3.442888889,3.298844
3.465555556,3.768011
3.334333333,3.4812372
3.401333333,3.1851408
3.192333333,3.197958
3.067,3.155019
2.997222222,3.095187
2.784222222,2.9743066
2.89,3.0256882
2.818777778,3.3562262
2.868555556,3.331248
2.731222222,3.8711417
2.762777778,4.029391
2.698666667,3.7733634
