kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.16900150892486937,0.04818592474274638,0.3357774128479598,0.0625721857763974,0.10223807868163179,0.020130024513000444,-0.06436191225642393,0.30347221944529346
2,0.19990865028304744,0.06452402571094165,0.31354822211669287,0.037924857512092194,0.10552395928940765,0.013555015311769253,-1.5472499926791183,0.8221696449208692
3,0.11499400574884593,0.009933025671611025,0.2712713657395603,0.015270927644500039,0.08159949852096049,0.0041964153223534,-1.4207220969289032,0.20909867932722379
4,0.10878203769472317,0.01015787744659326,0.27341833045202624,0.026114851999832864,0.08329700179311006,0.008341409926292991,0.13604974224328698,0.08067417217237006
5,0.042888156517778574,0.009595362344459103,0.16958220719077466,0.021625661850979798,0.053893404702988645,0.006579346823753343,0.17831722439025616,0.18383499325526037
6,0.11989965210894823,0.02618410301289474,0.2605381134277959,0.02729998152846871,0.07548572106356352,0.007351488344198536,0.04351991935350526,0.208879446444704
7,0.16615757673690323,0.029564588810816906,0.26129897485433184,0.008688698873903512,0.07283361749872022,0.0029825430722796122,-0.24038376445914073,0.22070276110197404
8,0.07926357742709574,0.006757403155868964,0.21998334761503596,0.010327794817743508,0.06560087538976393,0.0033690475493867444,0.027012527963941026,0.08294943059067453
