test,predict
4.222,3.3502324
4.002444444,3.2982068
3.968111111,3.4287577
3.682666667,3.2399106
3.523333333,3.1172607
3.397777778,3.2131517
3.394666667,3.223275
3.356888889,3.273674
3.368555556,3.0309834
3.2877499999999995,3.0846822
3.325333333,3.2352777
3.407888889,3.502803
3.1891111109999994,3.6252613
3.146,3.504317
3.026111111,3.654458
3.017888889,3.4723818
2.975,3.314853
3.088555556,3.218963
2.954666667,3.1813838
3.045555556,3.0026476
2.923111111,3.0236611
2.993111111,2.994995
2.979,3.1139357
