test,predict
3.6432222219999995,3.6111708
3.383777778,3.5595908
3.339777778,3.6062405
4.044,3.5024455
3.680888889,3.3124955
3.424777778,3.4362013
3.466111111,3.3374808
3.470333333,3.3173723
3.522222222,3.1907132
3.398666667,3.1759253
3.265777778,3.2584524
3.177222222,3.1988435
3.268555556,3.1367803
3.263222222,3.2296484
3.061888889,3.4349747
3.212666667,3.9076066
3.219111111,3.8410447
3.1401111110000004,3.6568756
3.081222222,3.2022283
3.1951111110000006,2.9435616
3.164777778,2.7326732
3.287888889,2.7560744
3.361111111,2.7979102
